City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sibolga,1.7427,98.7792,75.94,88,97,3.06,ID,2022-03-13 22:33:01
1,Svetlyy,54.675,20.1347,33.96,78,2,7.87,RU,2022-03-13 22:33:01
2,Hithadhoo,-0.6,73.0833,82.98,70,97,6.64,MV,2022-03-13 22:33:02
3,Puerto Ayora,-0.7393,-90.3518,85.96,88,43,3.0,EC,2022-03-13 22:33:02
4,Ushuaia,-54.8,-68.3,40.66,87,75,24.16,AR,2022-03-13 22:33:03
5,Mataura,-46.1927,168.8643,63.48,58,28,3.36,NZ,2022-03-13 22:33:03
6,Shimoda,34.6667,138.95,58.1,90,98,20.27,JP,2022-03-13 22:33:03
7,Hilo,19.7297,-155.09,80.33,66,20,10.36,US,2022-03-13 22:33:04
8,Bethel,41.3712,-73.414,33.03,53,100,11.01,US,2022-03-13 22:33:04
9,Gashua,12.871,11.0482,75.42,15,90,8.97,NG,2022-03-13 22:33:05
10,Palombara Sabina,42.0667,12.768,45.82,75,4,3.91,IT,2022-03-13 22:33:05
11,Punta Arenas,-53.15,-70.9167,44.71,76,40,33.38,CL,2022-03-13 22:33:00
12,Krasnoselkup,65.7,82.4667,-11.61,100,95,7.9,RU,2022-03-13 22:33:05
13,Carnarvon,-24.8667,113.6333,71.67,83,0,13.8,AU,2022-03-13 22:33:06
14,Rikitea,-23.1203,-134.9692,80.29,72,99,14.92,PF,2022-03-13 22:33:06
15,Grindavik,63.8424,-22.4338,36.07,69,40,17.27,IS,2022-03-13 22:33:07
16,Quelimane,-17.8786,36.8883,75.15,94,75,14.97,MZ,2022-03-13 22:33:07
17,Provideniya,64.3833,-173.3,21.36,42,0,18.01,RU,2022-03-13 22:33:07
18,Albany,42.6001,-73.9662,32.65,42,100,1.99,US,2022-03-13 22:31:11
19,Yuzhnyy,53.2542,83.6936,5.38,56,0,11.18,RU,2022-03-13 22:33:08
20,Ariquemes,-9.9133,-63.0408,74.66,96,100,1.23,BR,2022-03-13 22:33:08
21,The Valley,18.217,-63.0578,78.66,78,20,16.11,AI,2022-03-13 22:33:09
22,Hobart,-42.8794,147.3294,64.26,83,100,9.22,AU,2022-03-13 22:31:40
23,Laguna,38.421,-121.4238,68.76,37,0,6.91,US,2022-03-13 22:33:09
24,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,68,40,2.24,RU,2022-03-13 22:33:10
25,Kaitangata,-46.2817,169.8464,63.93,62,10,0.81,NZ,2022-03-13 22:33:10
26,Luderitz,-26.6481,15.1594,65.17,68,0,24.27,NA,2022-03-13 22:33:11
27,San Cristobal,7.7669,-72.225,75.38,96,94,3.71,VE,2022-03-13 22:33:11
28,Busselton,-33.65,115.3333,64.51,87,12,7.07,AU,2022-03-13 22:33:11
29,Severo-Kurilsk,50.6789,156.125,30.79,82,95,4.94,RU,2022-03-13 22:33:12
30,Kapaa,22.0752,-159.319,80.58,67,0,9.22,US,2022-03-13 22:33:12
31,Walvis Bay,-22.9575,14.5053,64.09,82,55,9.22,NA,2022-03-13 22:33:12
32,Lebu,-37.6167,-73.65,59.27,76,2,21.09,CL,2022-03-13 22:33:13
33,Impfondo,1.6381,18.0667,71.26,88,80,0.92,CG,2022-03-13 22:33:13
34,Mingaora,34.7758,72.3625,62.28,39,84,7.25,PK,2022-03-13 22:31:08
35,Puerto Madryn,-42.7692,-65.0385,67.06,38,33,17.07,AR,2022-03-13 22:33:14
36,Upernavik,72.7868,-56.1549,-14.13,100,55,14.61,GL,2022-03-13 22:33:14
37,Port Macquarie,-31.4333,152.9167,71.89,71,6,7.54,AU,2022-03-13 22:33:14
38,Bambous Virieux,-20.3428,57.7575,79.05,83,40,8.05,MU,2022-03-13 22:33:15
39,Kainantu,-6.2887,145.8655,68.25,75,61,2.8,PG,2022-03-13 22:33:15
40,Cavalcante,-13.7975,-47.4583,71.56,80,50,1.72,BR,2022-03-13 22:33:15
41,West Wendover,40.7391,-114.0733,52.81,32,75,17.27,US,2022-03-13 22:33:16
42,Esqueda,30.7167,-109.5833,72.27,8,0,20.15,MX,2022-03-13 22:33:16
43,Madimba,-10.4,40.3333,77.16,83,91,1.66,TZ,2022-03-13 22:33:17
44,Georgetown,5.4112,100.3354,80.53,98,20,3.44,MY,2022-03-13 22:33:01
45,Arraial Do Cabo,-22.9661,-42.0278,76.86,83,20,12.66,BR,2022-03-13 22:33:17
46,Codrington,-38.2667,141.9667,66.38,81,100,11.45,AU,2022-03-13 22:33:17
